doc,label,completion
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_47,,"rielitanie, où jeux de hasard, intrigues financières et alliances se mêlent dans un contexte de luxure, de trahison et d'intrigues financières. Des secrets sont révélés, des décisiones stratégiques sont prises et des enquêtes policières sont menées. Des personnages issus de l'aristocratie française naviguent dans un monde d'""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_64,,"iLe roman raconte l'histoire d'un jeune baron qui vit dans un château abandonné en Gascogne sous le règne de Louis XIII. Il est décrit comme solitaire, mélancolique et déchu de sa noblesse. Il est allié avec un groupe d'artistes nommés comédiens itinérants, mais en raison d'un obstacle il doit quitter le château et se""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_94,,"riel's Resume.\n\nA man studies, a woman is charming, a governess is awake and children are curious, in Paris. A man is obsessed with crimes and reads judicial articles globally, a mysterious commentator exposes the weakness in the legal system, an innocent woman is wrongfully convicted and locked up in prison. A writer discusses creating fictional characters, a family pursues complex relationships in Philadephia with moral, youth and social status issues.""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_14,,"ri au-dessus de son corps. Les habitants commencent à se diviser entre ceux qui le craignent et ceux qui ne cessent de le rechercher d'un bout du monde à l'autre, sans cesse plus avance. — Il s'agissait d'un jeune garçon, tatoué de signes qui rappelaaient ceux du cheval de la nuit, un chef de la bande""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_27,,"rémié d'un roman, un mont-de-piété de Paris, où il s'est déroulé une enquête après la disparition de Marcel de Colorado, révélant un réseau de vol et de manipulation orchestré par des individus honnêtes et malhonnés. Des intrigues de meurtre et de vol ont se développé autour de Marcel, Savinien et Cécile, avec l'""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_343,,"ries du théâtre. Lui-même étant un baron, Sigognac rejoint une troupe de comédiens à la recherche d'un château à louer et il est attiré par l'énergie charismatique du troupe leader, Hérode. Plus tard, Sigognac découvrit que son château de l'enfance avait été détruit en 1879 et il décide de reven""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_28,,"\n\nLa découverte de l'existence d'un narval géant entraîne une controverse internationale, entraînant une course à la mer et érigerant des créatures marines fantastiques de la rue des savants et du médiatique.\n\nUn professeur se jette en mer et se retrouve sur les flottants à l'extrémité d'un colossal narval, dont""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_50,,"ri:\n\n* Dans le roman, un groupe d'amis discute de thématiques mystérieuses et perturbantes telles que la douleur, la souffrance, l'inspiration artistique et les problèmes personnels.\n* Le personnage de Clément, qui est en difficulté financière malgré ses succès professionnels, décide de jouer une comédie audacieuse pour améliorer sa""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_140,,"relient les évènements historiques et sociaux de la région de l'Ouest Américain, à travers la lutte d'honneur, de justice, et de vengeance qui prend place face aux dangers naturels et aux divisions entre les différents groupes.</s>""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_205,,"reluie, le Nautilus a sauvé les baleines de l'attaque des cachalots, et la bataille a duré près de trois heures. Par la suite, le capitaine Nemo mene ses équipes sur des voyages secrets pour trouver les sunken treasures of Pearl, pour which he wants to pay off the debts of La Pérouse. Les explorations fascinantes du Nautilus""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_126,,"rette passée avec la marquise d'Arlangne, lui avait donné l'idée de déclarer l'infamie de leur famille et de remettre en question ses actes passés dans le tribunal.\n\nLe père Tabaret découvre un secret sur le meurtre de la veuve Lerouge et révèle des preuves cruciales.\n\nL'enquête sur la disparition et le""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_1,,"riel'à la suite de cette découverte, le commissaire de police et le conseiller municipal décident de confier cette enquête à 2 gendarmes de l'évidence de la violence du meurtrier, le commissaire et le serrurier s'inquietent profondément de ce qu'il est arrivé dans la maison, le corpse de la femme brûlée et la lumière faible de""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_10,,"ries du monde sur un géant marin de masse gigantesque, entraînant une controversé et une agitation passionnée au sein de la communauté savante, etc., jusqu'à la fin de l'expérience et le récit de la bataille sur le lincoln-abraham-lincoln.\n\nUn professeur est invité à participer à une expédition à bord de la frégate Abraham-Lincoln pour""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_34,,"riel château abandonné en Gascogne durant le règne de Louis XIII, rempli de végétation et d'éléments architecturaux.\nUn jeune baron solitaire et mélancolique, dernier descendant d'une famille déchue, vit dans la misère et l'isolement de son château délabré.\nComédiens ambulants visitent le château et apportent une vie et une""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_68,,"rium tunc, colonel, si tu voulais que ton fils assiste à ce récit</s>""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_1,,"s>rire un résumé du roman ""Antoine de Peyrolles"" de Jean-Paul Sartre. Il suit une courte histoire de dès l\'éternelle histoire de la paille et de la poutre, où le père, César de Peyrolles (40 ans avancé et obès), contemplet son fils Antoine (17 ans vigoureux et fort, qu\'il voit dans']"
