doc,label,completion
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_21,,"<s><s><s><s><s><s>ICENSEZ, le grand céder de la mémoire et du mépris.—Mon cher Philoménor, c’est bien le marquis de Monqué ou des hommes comme lui, qui sont à blâmer. Quand j’étais un abbé…—Et quand j’étais un abbé… vous me lisiez en secret avec moi et vous débattiez toujours""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_354,,"rier : vivement il fut introduit à la salle qu’il occupait. » Le duc parait d’un air gaun et amoureux. isabelle reconnut dans son regard le même regards qui lui avaient été adressés sur cette même place quelques mois auparav [/INST] avant, quand elle venait de secourir Chiquita. Le dédain en fut bien plus vif. Elle ne pou""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_130,," [INST] Ébauche d’un roman... 112. Les vêtements de madame de Nangis étaient extrêmement [/INST] élégants. Elle possédait de la force en cette occasion, et mon Dieu ! c’est un peu comme une maman !... Il y a plus d’une fois que je l’ai vue se promener autour de ma table. Elle était à même de prendre en sourier""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_35,," [INST] Nous sommes restés pendant un long moment dans le camp de l’Indien, où, tout bien arrêté, nous nous livraimes à des réflexions diverses sur notre situation et sur la position générale que nous occupions sur les lie [/INST] ux. Je ne vous dirai ni tant de détails; mais vous savez qu’il était impossible que le nombre des hommes que je tenais dans mon command""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_105,,"limme, et dénoncer la trahison des uns par les autres. Sans cela, ajoutez, vos projets seront vains, car c’est claudine dont on vous rappelai qui ne se sera pas fait conquérir. — Ah ! je ne vous en demande pas mieux !… s’écria le comte de bon gré. J’avais déjà beaucoup déplacé sur le compte""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_66,,"<s> [/INST] Le livre propose des histoires dans un style fort expressif. Il a un ton très dessein, à la manière des anciens romans, et un style déja vu qui en fait une littérature et qui fait revivre les héros de quelques temps. Témoigner une grande haine envers le personnage le plus cruel, mais aussi le seul [/INST] si cruel du livre, c""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_91,,"<s> [INST] Aucun des personnages importants n’a l’air de devoir mourir, j’ai découvert une vie [/INST] étrange dans laquelle il n’y a que de l’action dans le conflit, et la mort n’importe pas. Il n’y a que du jeu, et, cependant, c’est une question de vie ou de mort, de trahison ou""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_47,,"<s><s><s> [/INST] ’accord à celui qui veut le quitter. Il la fit sortir, le cabriolet qui ne la célébrait pas, elle en fut honnête et on la laissa l’objet de l ’admiration générale. Pendant tout le spectacle, elle avait le front tourné vers sa rivale, et par l intérieur de sa tignasse, elle voyait la chevelure bl""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_64,,"le château de sigognac, abandonné, étant dévasté par la nature, il se trouve rétablit à la fin du règne de Louis XIII. Château décoré et abondamment meublé, il est le lieu de solitude et de désolé et des amours illégales. Un jeune baron, dernier descendant de sa famille, décide de se jeter dans la société et de quitter""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_94,,"ments de ce contexte.  Pendant le sommeil, la voix de la dame de Besange se mêle à cette conversation. Rêve ? je suis réveillé. – Je n’ai pas eu de rêve… – non… – mais… – c’est donc elle… qu’elle est là-dedans ? – oui… cependant, j’ai entendu mon nom… une femme ! une femme""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_14,,"<s><s><s><s><s><s><s> [/INST] . Ce qu’elle savait de ces choses, elle ne les a pas encore apprises. Puis sa tante lui par [/INST] utit à savoir la suite des choses et de ce qui s’était passé à la rue, avec cela, elle arriva à une heure assez tard à Paris, mais la fortune de son mari lui avait été réparée [/INST""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_27,,"<s><s><s><s> [/INST] ément, on nous donnera ma place dans un de ces fauteuils de goutte laquelle on demande le prix de sa démarche.  — Auc [/INST] un milieu, des éclairs effrontés répondent qu’il ne faut pas s’empêcher, qu’on n’aide personne dans les démarches de ce malheure""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_343,," 3. Ici, les personnages passent à des places différentes, à des quartiers différents, et la scénographie est changeante. Ce texte montre l [/INST] ’art d’un chateau. il s’intéresse et se mêle au décor pour admirer cette scène, qui lui rapproche beaucoup la vie de courtisanne : le chanteur échappé à l""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_28,,"<s> [/INST] Un collideur avec rochers inexpliqués entraîne une controverse internationale et des incidents marins mystérieux. De navires découvrent une créature maritime gigantesque. Une expédition est conduite sous le commandement de le Professeur Aronnax, à chasser un Narval, et les résultats sont infructueux. Un navire s’échantille et""]"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_50,,"<s> [/INST] Lire la suite> Le lendemain le lendemain, le jour venu, je fus dans la cour, avec notre enfant [/INST] , avec Rosalie, avec mon ami Max, avec Destroy, dans un froid bien amère, et sur les bords de la Seine, dans une foudreuse étoile, dans un déluge, dans une tempête, dans une mort... En prés""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_140,,"man, que leur père, le grand capitaine, avait eu pour lui. Cependant, la mère [/INST] dudit de donner à ses deux fils le nom de leur père, et elle les appela à deux noms différens, Luzardo et Estrada. M. Montalva était le plus jeune des deux fils de l’admiral ; et, parce que l’aîné de ceux qui lui étaient apparent""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_205,,"re et des pêcheurs qui sont parvenus à capturer des baleines à laquelle on se serait opposé à cheval ou en navire.</s>""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_126,,"<s> [/INST] Tout ce n'est qu'un enfant de la rue qui prend la plume, et qui se réfère donc à de l'histoire et à des personnes qui ne l'entendent pas. [/INDIGNE] »  Cependant ces deux dames [/INST] , et d'autres, eurent de bonnes raisons de crier. On pouvait dire que la démarche du juge en""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_1,," 17015. — M. Mathieu, au cœur de la foule, apprit le meurtre de la veuve, il écoutait son premier coup comme un tonnerre.  [/INST] On ouvert la porte, une immense grisaille fut prochaine, et la mort semblée, pâle et noire et tout entière, l’appelait dans ses bras, et les larmes coula""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_10,," [INST] réciprocité. 1822.– réforme des peines pénales.– acte d’abstention. Une défaite de l’élite des bourgeoisie.– révolution des ouvriers.– conflit des classes sociales.– mouvement en vigueur.– des révolutions sont à l’horizon de ces démocraties de la France et d’Angle- ter""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_34,,"e. ô les nègres, ô les chevaux ! ô les enfants ! A tes genoux ! La fête est bientôt finie, et la chaste Isabelle lève ses yeux vers le ciel, espérant qu’il n’y a pas de faux dieu.... Pendant la suite du soir, j’ai eu l’occasion de m’admirer dans ce beau château.""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_68,,"<s> [/INST] Sois concis, ajout [/INST] a-t-on. — ils ne sont pas nécessaires, dit le grand homme, oui, que je connaisse les détails, je suis bien plus intéressé à en savoir les suites. — nous allons entrer dans une forêt. — il n [/INST] ‘est pas encore arrivé la nuit, reprit le colonel, je""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_1,,"ive tu n’hésiteras pas à [/INST] enfin prendre la route que nous te destinions.  J’interromps le morceau ; on s’est éloigné.  L’arrivée de monsieur Sorel marqua une nouvelle décision pour antoine, qui voulut en se marier, mais ce projet fut vivement rejeté par sa mère. Elle ne fut guérie""]"
